Step,Average Reward
0,-500.0
500,-500.0
1000,-129.45
1500,-222.37
2000,-93.3
2500,-111.2
3000,-104.16
3500,-108.78
4000,-98.57
4500,-103.53
5000,-99.42
5500,-115.92
6000,-96.42
6500,-99.25
7000,-100.54
7500,-117.94
8000,-108.13
8500,-173.1
9000,-113.32
9500,-201.9
10000,-304.21
10500,-122.81
11000,-104.05
11500,-138.09
12000,-104.64
12500,-100.28
13000,-111.21
13500,-120.34
14000,-108.39
14500,-132.9
15000,-125.42
15500,-110.33
16000,-111.05
16500,-108.59
17000,-108.96
17500,-105.81
18000,-96.62
18500,-107.26
19000,-98.68
19500,-102.96
20000,-99.07
20500,-95.34
21000,-92.76
21500,-97.17
22000,-101.22
22500,-93.39
23000,-93.85
23500,-101.58
24000,-96.61
24500,-90.49
25000,-92.37
25500,-94.28
26000,-90.7
26500,-90.66
27000,-90.85
27500,-91.13
28000,-88.66
28500,-96.8
29000,-89.5
29500,-91.97
30000,-91.76
30500,-91.55
31000,-92.34
31500,-87.99
32000,-92.9
32500,-90.99
33000,-91.38
33500,-87.97
34000,-88.82
34500,-88.36
35000,-88.26
35500,-94.02
36000,-90.38
36500,-90.55
37000,-90.24
37500,-89.24
38000,-88.8
38500,-91.42
39000,-88.53
39500,-91.2
40000,-94.2
40500,-92.04
41000,-84.82
41500,-85.93
42000,-93.61
42500,-90.71
43000,-87.71
43500,-89.34
44000,-93.56
44500,-87.87
45000,-90.91
45500,-90.05
46000,-91.71
46500,-90.89
47000,-92.73
47500,-90.43
48000,-87.78
48500,-90.62
49000,-90.6
49500,-91.22
50000,-89.3
50500,-90.38
51000,-87.23
51500,-92.57
52000,-87.47
52500,-89.56
53000,-92.3
53500,-87.52
54000,-87.9
54500,-89.0
55000,-87.3
55500,-89.36
56000,-90.95
56500,-96.22
57000,-87.38
57500,-89.13
58000,-85.5
58500,-87.28
59000,-87.57
59500,-87.43
60000,-90.19
60500,-88.79
61000,-87.59
61500,-86.96
62000,-87.57
62500,-88.36
63000,-87.96
63500,-93.27
64000,-88.49
64500,-94.62
65000,-90.25
65500,-90.34
66000,-86.6
66500,-86.56
67000,-90.17
67500,-87.24
68000,-86.57
68500,-92.85
69000,-85.6
69500,-86.61
70000,-87.62
70500,-92.96
71000,-84.52
71500,-89.78
72000,-88.72
72500,-91.49
73000,-89.03
73500,-89.74
74000,-85.35
74500,-88.94
75000,-86.54
75500,-89.32
76000,-91.55
76500,-87.46
77000,-87.33
77500,-88.72
78000,-89.71
78500,-84.67
79000,-86.66
79500,-92.71
80000,-85.09
80500,-86.82
81000,-86.37
81500,-85.12
82000,-88.58
82500,-86.02
83000,-84.63
83500,-84.32
84000,-87.18
84500,-85.45
85000,-83.11
85500,-86.88
86000,-85.92
86500,-85.78
87000,-87.74
87500,-87.86
88000,-86.57
88500,-85.5
89000,-84.4
89500,-90.94
90000,-86.93
90500,-92.46
91000,-86.98
91500,-85.71
92000,-88.02
92500,-83.05
93000,-82.22
93500,-82.33
94000,-84.9
94500,-83.68
95000,-81.42
95500,-83.98
96000,-84.46
96500,-83.66
97000,-83.39
97500,-83.62
98000,-83.51
98500,-83.56
99000,-82.47
99500,-85.99
