Step,Average Reward
0,-500.0
500,-500.0
1000,-259.22
1500,-126.06
2000,-175.85
2500,-162.35
3000,-111.69
3500,-92.01
4000,-105.22
4500,-136.36
5000,-110.58
5500,-217.81
6000,-109.75
6500,-113.79
7000,-102.32
7500,-110.61
8000,-121.92
8500,-112.2
9000,-124.21
9500,-117.36
10000,-150.14
10500,-103.56
11000,-100.49
11500,-169.0
12000,-110.37
12500,-160.54
13000,-179.33
13500,-129.72
14000,-167.16
14500,-119.92
15000,-137.31
15500,-101.2
16000,-95.31
16500,-109.66
17000,-102.52
17500,-100.45
18000,-99.66
18500,-106.81
19000,-98.11
19500,-97.49
20000,-106.71
20500,-101.59
21000,-89.98
21500,-85.13
22000,-92.48
22500,-88.75
23000,-93.14
23500,-91.4
24000,-94.16
24500,-95.81
25000,-100.31
25500,-95.89
26000,-92.35
26500,-103.63
27000,-97.85
27500,-94.01
28000,-96.55
28500,-88.86
29000,-92.82
29500,-91.1
30000,-96.36
30500,-100.96
31000,-98.85
31500,-94.42
32000,-96.75
32500,-97.75
33000,-95.48
33500,-94.92
34000,-91.86
34500,-86.49
35000,-93.1
35500,-92.57
36000,-92.99
36500,-96.71
37000,-96.66
37500,-88.26
38000,-99.34
38500,-93.11
39000,-93.24
39500,-91.19
40000,-92.32
40500,-92.42
41000,-95.02
41500,-99.4
42000,-95.46
42500,-95.11
43000,-89.6
43500,-95.06
44000,-91.49
44500,-89.68
45000,-92.4
45500,-90.69
46000,-92.53
46500,-89.46
47000,-86.7
47500,-89.5
48000,-86.37
48500,-92.81
49000,-91.16
49500,-95.71
50000,-91.7
50500,-90.27
51000,-87.57
51500,-87.13
52000,-90.89
52500,-95.57
53000,-93.47
53500,-98.16
54000,-94.06
54500,-89.64
55000,-89.0
55500,-85.0
56000,-89.22
56500,-87.74
57000,-98.44
57500,-92.27
58000,-88.32
58500,-90.62
59000,-95.71
59500,-89.6
60000,-94.93
60500,-97.84
61000,-89.91
61500,-90.64
62000,-93.98
62500,-88.87
63000,-95.84
63500,-90.4
64000,-95.21
64500,-90.4
65000,-91.27
65500,-93.92
66000,-89.85
66500,-93.55
67000,-95.33
67500,-89.27
68000,-89.39
68500,-92.3
69000,-92.46
69500,-90.17
70000,-88.67
70500,-90.82
71000,-89.42
71500,-88.32
72000,-89.52
72500,-92.26
73000,-89.97
73500,-89.59
74000,-87.38
74500,-86.52
75000,-86.42
75500,-85.13
76000,-89.82
76500,-89.42
77000,-92.28
77500,-90.92
78000,-90.65
78500,-86.6
79000,-92.12
79500,-88.15
80000,-86.61
80500,-87.95
81000,-83.85
81500,-87.49
82000,-87.16
82500,-85.53
83000,-88.75
83500,-87.24
84000,-86.62
84500,-90.39
85000,-91.03
85500,-91.48
86000,-88.41
86500,-86.3
87000,-88.52
87500,-83.22
88000,-85.2
88500,-86.25
89000,-87.08
89500,-85.79
90000,-88.8
90500,-87.16
91000,-84.73
91500,-89.59
92000,-88.69
92500,-88.63
93000,-88.56
93500,-87.53
94000,-85.95
94500,-86.16
95000,-84.05
95500,-86.33
96000,-87.83
96500,-92.02
97000,-92.52
97500,-91.57
98000,-88.48
98500,-93.62
99000,-88.29
99500,-87.84
