Step,Average Reward
0,-498.65
500,-500.0
1000,-105.8
1500,-254.94
2000,-109.55
2500,-99.7
3000,-116.95
3500,-123.06
4000,-162.53
4500,-92.43
5000,-95.16
5500,-110.03
6000,-153.6
6500,-112.23
7000,-106.73
7500,-174.14
8000,-112.12
8500,-103.7
9000,-104.73
9500,-104.22
10000,-103.51
10500,-96.68
11000,-97.28
11500,-101.41
12000,-110.43
12500,-102.55
13000,-91.17
13500,-102.01
14000,-98.01
14500,-98.8
15000,-105.4
15500,-91.38
16000,-101.15
16500,-95.61
17000,-97.62
17500,-99.96
18000,-101.34
18500,-94.38
19000,-97.15
19500,-96.13
20000,-99.09
20500,-101.91
21000,-106.86
21500,-94.59
22000,-94.29
22500,-92.89
23000,-91.23
23500,-88.02
24000,-94.9
24500,-92.87
25000,-96.13
25500,-91.47
26000,-93.5
26500,-95.15
27000,-91.43
27500,-92.89
28000,-110.97
28500,-95.07
29000,-90.41
29500,-98.4
30000,-96.69
30500,-92.9
31000,-105.19
31500,-88.78
32000,-104.58
32500,-96.33
33000,-90.1
33500,-94.4
34000,-93.01
34500,-97.43
35000,-90.78
35500,-97.02
36000,-89.96
36500,-93.9
37000,-95.9
37500,-98.36
38000,-96.06
38500,-107.84
39000,-91.77
39500,-98.78
40000,-99.43
40500,-99.33
41000,-94.63
41500,-101.25
42000,-96.34
42500,-93.9
43000,-90.24
43500,-92.74
44000,-99.96
44500,-94.8
45000,-100.25
45500,-97.17
46000,-100.58
46500,-91.86
47000,-93.63
47500,-94.03
48000,-99.5
48500,-97.82
49000,-95.88
49500,-98.57
50000,-100.24
50500,-91.79
51000,-95.07
51500,-99.54
52000,-100.31
52500,-96.02
53000,-101.14
53500,-92.09
54000,-95.01
54500,-90.04
55000,-98.16
55500,-91.87
56000,-97.21
56500,-94.18
57000,-92.97
57500,-92.43
58000,-102.28
58500,-93.56
59000,-95.96
59500,-101.52
60000,-94.7
60500,-100.75
61000,-98.73
61500,-91.74
62000,-92.24
62500,-89.14
63000,-95.03
63500,-95.48
64000,-96.31
64500,-92.42
65000,-96.63
65500,-98.81
66000,-91.33
66500,-91.14
67000,-101.41
67500,-95.72
68000,-96.67
68500,-93.02
69000,-98.59
69500,-100.51
70000,-97.11
70500,-93.69
71000,-93.81
71500,-90.91
72000,-95.1
72500,-95.23
73000,-94.7
73500,-107.99
74000,-93.47
74500,-100.02
75000,-98.97
75500,-96.8
76000,-91.7
76500,-97.57
77000,-98.22
77500,-98.65
78000,-95.59
78500,-97.18
79000,-96.11
79500,-91.43
80000,-98.49
80500,-97.62
81000,-95.33
81500,-93.05
82000,-98.68
82500,-98.28
83000,-93.03
83500,-97.41
84000,-99.0
84500,-94.38
85000,-91.9
85500,-92.25
86000,-93.73
86500,-97.86
87000,-93.17
87500,-95.75
88000,-92.57
88500,-94.21
89000,-93.64
89500,-96.26
90000,-99.62
90500,-107.43
91000,-98.51
91500,-96.61
92000,-92.21
92500,-95.75
93000,-96.29
93500,-98.11
94000,-93.34
94500,-92.96
95000,-98.86
95500,-96.32
96000,-96.41
96500,-93.71
97000,-93.14
97500,-91.23
98000,-101.52
98500,-93.19
99000,-94.96
99500,-96.75
