Step,Average Reward
0,21.15
500,19.7
1000,20.05
1500,21.7
2000,19.65
2500,19.45
3000,16.25
3500,17.6
4000,21.75
4500,20.8
5000,18.95
5500,24.15
6000,13.45
6500,71.0
7000,72.75
7500,64.9
8000,62.4
8500,251.5
9000,171.7
9500,183.25
10000,267.1
10500,265.6
11000,183.05
11500,89.85
12000,177.95
12500,209.35
13000,323.3
13500,407.45
14000,234.0
14500,330.4
15000,420.05
15500,430.95
16000,413.05
16500,489.2
17000,500.0
17500,500.0
18000,500.0
18500,500.0
19000,500.0
19500,485.1
20000,500.0
20500,500.0
21000,500.0
21500,500.0
22000,500.0
22500,342.05
23000,500.0
23500,500.0
24000,500.0
24500,500.0
25000,500.0
25500,500.0
26000,500.0
26500,500.0
27000,475.65
27500,500.0
28000,500.0
28500,426.85
29000,500.0
29500,500.0
30000,500.0
30500,500.0
31000,500.0
31500,500.0
32000,500.0
32500,500.0
33000,500.0
33500,500.0
34000,500.0
34500,500.0
35000,500.0
35500,500.0
36000,500.0
36500,500.0
37000,500.0
37500,500.0
38000,500.0
38500,500.0
39000,500.0
39500,389.8
40000,500.0
40500,500.0
41000,500.0
41500,500.0
42000,500.0
42500,499.0
43000,475.0
43500,411.05
44000,500.0
44500,500.0
45000,500.0
45500,500.0
46000,500.0
46500,500.0
47000,500.0
47500,489.4
48000,447.15
48500,469.95
49000,500.0
49500,500.0
50000,500.0
50500,500.0
51000,500.0
51500,500.0
52000,500.0
52500,500.0
53000,500.0
53500,500.0
54000,500.0
54500,500.0
55000,500.0
55500,500.0
56000,500.0
56500,500.0
57000,500.0
57500,500.0
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,500.0
60500,500.0
61000,500.0
61500,500.0
62000,500.0
62500,500.0
63000,500.0
63500,500.0
64000,500.0
64500,500.0
65000,500.0
65500,500.0
66000,241.25
66500,141.85
67000,134.55
67500,169.25
68000,122.05
68500,147.4
69000,186.45
69500,207.45
70000,282.1
70500,353.8
71000,161.9
71500,105.5
72000,52.8
72500,229.5
73000,192.05
73500,292.6
74000,372.1
74500,489.8
75000,500.0
75500,500.0
76000,500.0
76500,500.0
77000,500.0
77500,500.0
78000,500.0
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,500.0
81000,500.0
81500,500.0
82000,500.0
82500,500.0
83000,500.0
83500,500.0
84000,500.0
84500,500.0
85000,500.0
85500,500.0
86000,500.0
86500,500.0
87000,500.0
87500,500.0
88000,500.0
88500,500.0
89000,500.0
89500,500.0
90000,500.0
90500,500.0
91000,475.75
91500,500.0
92000,329.85
92500,500.0
93000,500.0
93500,500.0
94000,500.0
94500,495.1
95000,469.55
95500,268.25
96000,303.7
96500,311.95
97000,303.95
97500,339.45
98000,448.95
98500,500.0
99000,500.0
99500,500.0
