Step,Average Reward
0,26.2
500,25.7
1000,18.2
1500,23.7
2000,16.2
2500,26.6
3000,19.8
3500,17.0
4000,24.6
4500,19.1
5000,20.0
5500,21.8
6000,27.6
6500,17.5
7000,22.0
7500,21.5
8000,18.8
8500,19.2
9000,22.6
9500,26.3
10000,18.3
10500,17.3
11000,13.8
11500,10.1
12000,10.0
12500,9.0
13000,9.6
13500,12.9
14000,11.6
14500,11.7
15000,11.6
15500,14.8
16000,25.0
16500,51.0
17000,61.9
17500,71.1
18000,57.0
18500,68.4
19000,88.6
19500,62.4
20000,54.9
20500,73.3
21000,66.3
21500,70.6
22000,72.5
22500,86.0
23000,107.4
23500,85.3
24000,87.2
24500,104.9
25000,127.7
25500,79.1
26000,133.3
26500,129.0
27000,161.9
27500,104.9
28000,142.0
28500,98.9
29000,113.0
29500,110.2
30000,169.0
30500,159.8
31000,146.4
31500,211.7
32000,261.7
32500,229.9
33000,227.6
33500,158.7
34000,201.0
34500,236.2
35000,223.3
35500,240.7
36000,279.5
36500,289.8
37000,290.9
37500,235.3
38000,335.1
38500,262.4
39000,207.7
39500,237.1
40000,262.6
40500,268.7
41000,265.5
41500,226.8
42000,194.3
42500,249.6
43000,170.8
43500,206.9
44000,247.6
44500,176.4
45000,195.5
45500,231.1
46000,208.8
46500,271.7
47000,304.2
47500,274.0
48000,303.1
48500,264.7
49000,230.0
49500,246.1
50000,238.6
50500,227.0
51000,258.0
51500,219.4
52000,310.0
52500,279.7
53000,284.6
53500,277.3
54000,270.7
54500,295.0
55000,300.6
55500,280.3
56000,311.1
56500,342.2
57000,293.4
57500,396.0
58000,337.3
58500,342.3
59000,386.8
59500,356.4
60000,403.9
60500,477.3
61000,417.3
61500,491.7
62000,439.2
62500,429.5
63000,374.2
63500,416.0
64000,396.8
64500,421.8
65000,473.4
65500,439.2
66000,488.7
66500,365.7
67000,391.3
67500,487.1
68000,446.2
68500,427.3
69000,455.7
69500,450.3
70000,498.3
70500,474.1
71000,481.2
71500,476.6
72000,462.0
72500,487.8
73000,500.0
73500,462.8
74000,500.0
74500,500.0
75000,500.0
75500,500.0
76000,500.0
76500,500.0
77000,500.0
77500,500.0
78000,500.0
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,500.0
81000,500.0
81500,500.0
82000,500.0
82500,499.7
83000,500.0
83500,500.0
84000,500.0
84500,480.6
85000,500.0
85500,479.0
86000,500.0
86500,473.1
87000,495.1
87500,447.2
88000,489.5
88500,500.0
89000,499.7
89500,491.6
90000,496.2
90500,482.7
91000,480.3
91500,446.6
92000,455.3
92500,500.0
93000,491.3
93500,500.0
94000,500.0
94500,500.0
95000,486.2
95500,500.0
96000,500.0
96500,500.0
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,500.0
99500,500.0
