Step,Average Reward
0,21.2
500,23.1
1000,20.1
1500,20.1
2000,24.1
2500,19.8
3000,18.45
3500,21.85
4000,19.9
4500,26.35
5000,20.6
5500,14.1
6000,23.0
6500,82.3
7000,104.1
7500,174.85
8000,246.05
8500,314.25
9000,350.3
9500,304.75
10000,270.6
10500,317.75
11000,286.7
11500,204.15
12000,180.5
12500,169.2
13000,145.45
13500,166.8
14000,167.1
14500,193.6
15000,172.15
15500,180.4
16000,170.2
16500,239.7
17000,451.4
17500,500.0
18000,495.55
18500,365.35
19000,484.6
19500,422.8
20000,362.45
20500,251.7
21000,181.65
21500,205.75
22000,223.15
22500,222.65
23000,242.2
23500,325.75
24000,290.25
24500,441.55
25000,493.9
25500,468.1
26000,396.25
26500,288.15
27000,321.85
27500,469.2
28000,500.0
28500,498.45
29000,500.0
29500,500.0
30000,495.2
30500,302.95
31000,500.0
31500,500.0
32000,500.0
32500,500.0
33000,223.9
33500,359.9
34000,500.0
34500,500.0
35000,500.0
35500,500.0
36000,500.0
36500,500.0
37000,500.0
37500,500.0
38000,285.8
38500,302.1
39000,341.6
39500,496.05
40000,500.0
40500,500.0
41000,439.2
41500,300.0
42000,500.0
42500,500.0
43000,500.0
43500,492.3
44000,441.8
44500,500.0
45000,383.75
45500,283.45
46000,290.75
46500,343.05
47000,408.45
47500,500.0
48000,500.0
48500,500.0
49000,500.0
49500,500.0
50000,500.0
50500,500.0
51000,500.0
51500,500.0
52000,500.0
52500,500.0
53000,500.0
53500,500.0
54000,500.0
54500,500.0
55000,500.0
55500,500.0
56000,500.0
56500,500.0
57000,500.0
57500,500.0
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,500.0
60500,500.0
61000,500.0
61500,500.0
62000,500.0
62500,348.4
63000,500.0
63500,500.0
64000,500.0
64500,500.0
65000,500.0
65500,500.0
66000,500.0
66500,500.0
67000,500.0
67500,500.0
68000,500.0
68500,500.0
69000,500.0
69500,500.0
70000,500.0
70500,500.0
71000,500.0
71500,500.0
72000,500.0
72500,500.0
73000,500.0
73500,500.0
74000,500.0
74500,500.0
75000,500.0
75500,500.0
76000,500.0
76500,500.0
77000,500.0
77500,480.2
78000,360.5
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,500.0
81000,500.0
81500,444.95
82000,500.0
82500,500.0
83000,500.0
83500,500.0
84000,500.0
84500,475.75
85000,135.95
85500,243.9
86000,500.0
86500,500.0
87000,489.15
87500,497.45
88000,478.9
88500,395.45
89000,369.7
89500,452.3
90000,490.9
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,499.95
93000,500.0
93500,500.0
94000,500.0
94500,500.0
95000,500.0
95500,500.0
96000,500.0
96500,500.0
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,500.0
99500,500.0
