Step,Average Reward
0,33.0
500,25.5
1000,19.7
1500,20.9
2000,20.1
2500,24.6
3000,25.0
3500,18.9
4000,28.6
4500,21.2
5000,22.9
5500,28.5
6000,22.7
6500,25.0
7000,20.3
7500,26.1
8000,23.1
8500,17.6
9000,22.7
9500,23.2
10000,18.9
10500,12.7
11000,9.4
11500,9.7
12000,9.7
12500,12.1
13000,11.4
13500,13.1
14000,53.0
14500,62.0
15000,55.5
15500,58.7
16000,54.5
16500,46.6
17000,66.5
17500,72.7
18000,53.0
18500,56.8
19000,68.9
19500,77.3
20000,83.3
20500,78.9
21000,96.7
21500,115.4
22000,134.2
22500,152.4
23000,158.4
23500,185.2
24000,213.8
24500,276.1
25000,284.1
25500,272.6
26000,353.1
26500,267.0
27000,288.1
27500,268.9
28000,239.9
28500,227.3
29000,184.1
29500,208.0
30000,169.7
30500,226.9
31000,167.7
31500,154.9
32000,168.9
32500,175.5
33000,211.4
33500,176.4
34000,171.1
34500,261.5
35000,192.8
35500,195.0
36000,203.6
36500,201.1
37000,233.8
37500,239.6
38000,215.9
38500,259.6
39000,238.1
39500,271.4
40000,348.6
40500,261.1
41000,306.9
41500,369.4
42000,356.6
42500,383.4
43000,455.1
43500,444.7
44000,388.8
44500,393.1
45000,380.7
45500,396.4
46000,412.3
46500,391.2
47000,429.6
47500,433.7
48000,422.4
48500,426.4
49000,469.1
49500,455.9
50000,468.0
50500,483.2
51000,494.1
51500,492.2
52000,473.7
52500,494.5
53000,497.9
53500,500.0
54000,460.6
54500,492.3
55000,486.9
55500,495.2
56000,440.8
56500,496.0
57000,477.0
57500,499.7
58000,498.0
58500,492.6
59000,473.7
59500,486.3
60000,487.9
60500,499.3
61000,431.8
61500,479.0
62000,464.6
62500,478.2
63000,471.8
63500,489.8
64000,409.4
64500,494.8
65000,499.0
65500,484.4
66000,495.1
66500,500.0
67000,496.3
67500,497.7
68000,482.5
68500,500.0
69000,500.0
69500,496.4
70000,500.0
70500,500.0
71000,500.0
71500,500.0
72000,500.0
72500,500.0
73000,500.0
73500,500.0
74000,500.0
74500,500.0
75000,500.0
75500,500.0
76000,500.0
76500,500.0
77000,500.0
77500,500.0
78000,500.0
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,500.0
81000,500.0
81500,500.0
82000,500.0
82500,500.0
83000,500.0
83500,500.0
84000,500.0
84500,500.0
85000,500.0
85500,500.0
86000,500.0
86500,500.0
87000,500.0
87500,500.0
88000,500.0
88500,500.0
89000,500.0
89500,500.0
90000,500.0
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,500.0
93000,500.0
93500,500.0
94000,500.0
94500,500.0
95000,500.0
95500,500.0
96000,500.0
96500,500.0
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,500.0
99500,500.0
