Step,Average Reward
0,22.55
500,21.3
1000,25.9
1500,26.95
2000,22.25
2500,26.45
3000,23.2
3500,18.1
4000,20.15
4500,23.25
5000,24.8
5500,13.8
6000,59.1
6500,77.65
7000,77.9
7500,90.55
8000,101.3
8500,108.65
9000,174.65
9500,273.95
10000,189.8
10500,254.95
11000,379.7
11500,233.75
12000,134.25
12500,233.35
13000,369.75
13500,452.9
14000,287.1
14500,145.15
15000,341.9
15500,373.5
16000,427.6
16500,412.5
17000,451.7
17500,418.25
18000,500.0
18500,481.15
19000,500.0
19500,500.0
20000,500.0
20500,500.0
21000,500.0
21500,500.0
22000,500.0
22500,500.0
23000,500.0
23500,500.0
24000,500.0
24500,500.0
25000,500.0
25500,500.0
26000,500.0
26500,500.0
27000,500.0
27500,500.0
28000,500.0
28500,500.0
29000,500.0
29500,500.0
30000,500.0
30500,500.0
31000,500.0
31500,500.0
32000,500.0
32500,500.0
33000,500.0
33500,500.0
34000,500.0
34500,500.0
35000,500.0
35500,500.0
36000,500.0
36500,500.0
37000,500.0
37500,500.0
38000,500.0
38500,500.0
39000,500.0
39500,500.0
40000,500.0
40500,500.0
41000,500.0
41500,500.0
42000,325.25
42500,500.0
43000,500.0
43500,500.0
44000,500.0
44500,500.0
45000,500.0
45500,500.0
46000,500.0
46500,500.0
47000,500.0
47500,500.0
48000,500.0
48500,500.0
49000,500.0
49500,500.0
50000,467.9
50500,500.0
51000,500.0
51500,500.0
52000,500.0
52500,500.0
53000,500.0
53500,500.0
54000,500.0
54500,500.0
55000,500.0
55500,500.0
56000,365.9
56500,500.0
57000,500.0
57500,500.0
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,500.0
60500,500.0
61000,500.0
61500,354.3
62000,11.5
62500,15.05
63000,500.0
63500,290.85
64000,230.5
64500,200.2
65000,198.35
65500,227.05
66000,232.25
66500,245.95
67000,255.7
67500,266.65
68000,296.0
68500,310.05
69000,400.95
69500,466.65
70000,500.0
70500,500.0
71000,500.0
71500,500.0
72000,500.0
72500,500.0
73000,500.0
73500,500.0
74000,190.15
74500,126.65
75000,174.25
75500,272.5
76000,353.6
76500,500.0
77000,500.0
77500,500.0
78000,500.0
78500,336.0
79000,250.3
79500,266.55
80000,291.3
80500,289.7
81000,317.35
81500,436.7
82000,500.0
82500,500.0
83000,500.0
83500,500.0
84000,500.0
84500,500.0
85000,500.0
85500,500.0
86000,500.0
86500,500.0
87000,500.0
87500,500.0
88000,500.0
88500,500.0
89000,500.0
89500,500.0
90000,500.0
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,500.0
93000,500.0
93500,500.0
94000,500.0
94500,500.0
95000,500.0
95500,500.0
96000,500.0
96500,500.0
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,500.0
99500,500.0
