Step,Average Reward
0,32.1
500,31.8
1000,26.2
1500,23.7
2000,26.3
2500,32.0
3000,24.7
3500,18.8
4000,24.9
4500,26.5
5000,16.4
5500,25.1
6000,24.2
6500,23.7
7000,26.1
7500,25.9
8000,23.0
8500,28.3
9000,26.1
9500,30.1
10000,31.8
10500,9.4
11000,37.9
11500,72.5
12000,69.7
12500,62.2
13000,63.5
13500,74.0
14000,67.2
14500,91.9
15000,72.9
15500,104.8
16000,136.6
16500,135.6
17000,149.6
17500,186.4
18000,251.0
18500,372.1
19000,415.8
19500,447.6
20000,470.0
20500,296.2
21000,451.8
21500,468.1
22000,460.3
22500,433.8
23000,402.2
23500,374.1
24000,366.3
24500,344.4
25000,380.7
25500,415.9
26000,379.6
26500,382.4
27000,371.3
27500,353.1
28000,383.0
28500,335.6
29000,320.8
29500,342.5
30000,388.7
30500,329.6
31000,388.7
31500,334.6
32000,277.0
32500,339.3
33000,308.7
33500,348.6
34000,330.1
34500,357.4
35000,305.8
35500,336.5
36000,299.3
36500,321.8
37000,315.8
37500,313.5
38000,309.4
38500,301.7
39000,316.3
39500,276.5
40000,368.8
40500,500.0
41000,500.0
41500,487.9
42000,466.3
42500,499.8
43000,484.8
43500,391.0
44000,265.3
44500,240.5
45000,219.5
45500,207.9
46000,239.4
46500,217.4
47000,427.3
47500,309.2
48000,311.7
48500,334.7
49000,315.1
49500,464.0
50000,455.4
50500,500.0
51000,494.8
51500,500.0
52000,497.3
52500,353.4
53000,475.7
53500,376.4
54000,358.8
54500,500.0
55000,500.0
55500,313.4
56000,492.9
56500,500.0
57000,500.0
57500,395.9
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,500.0
60500,500.0
61000,500.0
61500,500.0
62000,500.0
62500,500.0
63000,500.0
63500,500.0
64000,500.0
64500,17.5
65000,11.7
65500,17.2
66000,500.0
66500,500.0
67000,373.4
67500,500.0
68000,500.0
68500,500.0
69000,500.0
69500,500.0
70000,500.0
70500,500.0
71000,500.0
71500,500.0
72000,500.0
72500,500.0
73000,500.0
73500,475.2
74000,454.1
74500,468.1
75000,468.2
75500,357.1
76000,401.8
76500,280.4
77000,301.9
77500,305.1
78000,269.4
78500,344.4
79000,293.6
79500,311.8
80000,375.9
80500,424.6
81000,332.0
81500,364.9
82000,309.4
82500,355.8
83000,325.5
83500,398.4
84000,402.2
84500,458.9
85000,439.1
85500,500.0
86000,419.3
86500,500.0
87000,500.0
87500,500.0
88000,490.2
88500,499.4
89000,480.9
89500,488.5
90000,500.0
90500,492.3
91000,493.5
91500,496.6
92000,500.0
92500,500.0
93000,500.0
93500,494.1
94000,500.0
94500,500.0
95000,498.2
95500,500.0
96000,500.0
96500,500.0
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,499.8
99500,500.0
