Step,Average Reward
0,22.0
500,18.0
1000,22.2
1500,34.2
2000,14.6
2500,24.0
3000,27.2
3500,24.1
4000,22.6
4500,21.1
5000,19.2
5500,24.6
6000,16.7
6500,18.7
7000,35.8
7500,22.1
8000,20.1
8500,26.7
9000,17.6
9500,17.1
10000,21.4
10500,16.2
11000,43.8
11500,70.7
12000,78.2
12500,84.0
13000,56.9
13500,63.3
14000,171.6
14500,151.0
15000,131.2
15500,127.2
16000,137.4
16500,149.9
17000,163.6
17500,173.3
18000,185.8
18500,179.7
19000,180.1
19500,183.9
20000,194.9
20500,187.5
21000,192.0
21500,200.4
22000,210.1
22500,265.8
23000,258.8
23500,390.6
24000,458.4
24500,488.8
25000,330.8
25500,190.6
26000,229.5
26500,198.0
27000,219.4
27500,313.1
28000,342.2
28500,400.6
29000,409.9
29500,477.2
30000,492.6
30500,500.0
31000,500.0
31500,500.0
32000,500.0
32500,185.0
33000,132.2
33500,171.6
34000,55.9
34500,182.6
35000,71.8
35500,349.1
36000,241.8
36500,499.2
37000,343.4
37500,387.1
38000,439.5
38500,500.0
39000,480.6
39500,495.7
40000,500.0
40500,500.0
41000,500.0
41500,500.0
42000,500.0
42500,500.0
43000,500.0
43500,500.0
44000,500.0
44500,500.0
45000,500.0
45500,500.0
46000,500.0
46500,493.5
47000,487.9
47500,293.9
48000,323.6
48500,500.0
49000,500.0
49500,500.0
50000,452.3
50500,217.0
51000,170.9
51500,150.9
52000,196.5
52500,270.0
53000,475.9
53500,500.0
54000,500.0
54500,500.0
55000,500.0
55500,500.0
56000,500.0
56500,500.0
57000,500.0
57500,500.0
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,13.9
60500,11.6
61000,13.7
61500,24.0
62000,10.1
62500,11.1
63000,10.6
63500,35.4
64000,151.1
64500,241.0
65000,29.3
65500,20.3
66000,36.7
66500,73.9
67000,97.2
67500,78.5
68000,34.5
68500,23.2
69000,17.1
69500,12.5
70000,13.1
70500,13.8
71000,18.0
71500,25.9
72000,42.4
72500,41.3
73000,50.5
73500,42.0
74000,40.4
74500,53.4
75000,67.5
75500,59.3
76000,60.5
76500,73.3
77000,74.7
77500,76.3
78000,63.0
78500,57.1
79000,64.7
79500,67.2
80000,100.3
80500,95.4
81000,182.5
81500,180.2
82000,205.8
82500,155.3
83000,267.9
83500,139.3
84000,139.8
84500,161.9
85000,136.4
85500,164.8
86000,156.2
86500,141.5
87000,149.4
87500,122.5
88000,188.7
88500,138.4
89000,133.1
89500,162.5
90000,153.7
90500,199.2
91000,177.3
91500,241.4
92000,182.6
92500,164.5
93000,196.8
93500,213.8
94000,279.0
94500,219.5
95000,227.0
95500,138.0
96000,80.7
96500,67.7
97000,88.2
97500,83.2
98000,61.8
98500,141.2
99000,110.7
99500,284.8
