Step,Average Reward
0,18.25
500,20.85
1000,19.95
1500,27.75
2000,20.95
2500,22.4
3000,22.95
3500,18.15
4000,19.35
4500,23.1
5000,24.5
5500,29.4
6000,17.05
6500,47.5
7000,116.25
7500,115.0
8000,202.3
8500,269.45
9000,291.55
9500,315.35
10000,288.7
10500,235.45
11000,242.0
11500,242.1
12000,227.5
12500,274.4
13000,263.5
13500,300.8
14000,264.2
14500,302.0
15000,282.8
15500,474.2
16000,489.35
16500,209.45
17000,238.35
17500,179.25
18000,200.1
18500,349.85
19000,217.2
19500,270.75
20000,150.35
20500,146.15
21000,172.5
21500,210.7
22000,445.3
22500,417.95
23000,350.65
23500,351.15
24000,500.0
24500,497.45
25000,496.05
25500,233.8
26000,499.8
26500,396.95
27000,500.0
27500,500.0
28000,500.0
28500,500.0
29000,500.0
29500,500.0
30000,500.0
30500,451.9
31000,379.6
31500,451.6
32000,406.75
32500,368.3
33000,50.1
33500,123.3
34000,17.0
34500,500.0
35000,482.25
35500,471.35
36000,360.45
36500,398.65
37000,384.6
37500,301.55
38000,406.9
38500,345.55
39000,462.8
39500,384.45
40000,424.2
40500,491.0
41000,500.0
41500,500.0
42000,499.6
42500,500.0
43000,485.15
43500,500.0
44000,428.15
44500,488.3
45000,481.95
45500,495.25
46000,457.2
46500,500.0
47000,484.7
47500,487.8
48000,480.4
48500,500.0
49000,479.25
49500,445.6
50000,500.0
50500,500.0
51000,500.0
51500,500.0
52000,500.0
52500,455.5
53000,500.0
53500,500.0
54000,500.0
54500,500.0
55000,500.0
55500,500.0
56000,500.0
56500,500.0
57000,500.0
57500,500.0
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,500.0
60500,500.0
61000,500.0
61500,500.0
62000,500.0
62500,500.0
63000,500.0
63500,500.0
64000,500.0
64500,500.0
65000,500.0
65500,500.0
66000,500.0
66500,500.0
67000,500.0
67500,500.0
68000,500.0
68500,500.0
69000,500.0
69500,500.0
70000,500.0
70500,500.0
71000,500.0
71500,500.0
72000,500.0
72500,500.0
73000,500.0
73500,500.0
74000,500.0
74500,500.0
75000,500.0
75500,500.0
76000,500.0
76500,500.0
77000,500.0
77500,500.0
78000,500.0
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,500.0
81000,500.0
81500,500.0
82000,500.0
82500,500.0
83000,500.0
83500,500.0
84000,500.0
84500,500.0
85000,500.0
85500,500.0
86000,500.0
86500,500.0
87000,500.0
87500,500.0
88000,500.0
88500,500.0
89000,500.0
89500,500.0
90000,500.0
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,500.0
93000,500.0
93500,500.0
94000,500.0
94500,500.0
95000,500.0
95500,500.0
96000,500.0
96500,500.0
97000,500.0
97500,500.0
98000,500.0
98500,500.0
99000,500.0
99500,500.0
