Step,Average Reward
0,23.95
500,20.45
1000,20.75
1500,19.1
2000,22.4
2500,21.3
3000,19.4
3500,22.3
4000,24.1
4500,21.45
5000,26.3
5500,19.35
6000,9.4
6500,57.45
7000,62.05
7500,68.1
8000,109.2
8500,105.5
9000,104.9
9500,148.5
10000,130.85
10500,137.15
11000,106.55
11500,91.1
12000,80.75
12500,44.4
13000,33.2
13500,31.8
14000,29.1
14500,44.75
15000,89.05
15500,69.6
16000,500.0
16500,500.0
17000,500.0
17500,412.25
18000,68.6
18500,291.55
19000,78.35
19500,82.1
20000,48.6
20500,43.6
21000,54.65
21500,45.1
22000,42.75
22500,43.65
23000,42.5
23500,46.65
24000,134.4
24500,436.65
25000,478.3
25500,500.0
26000,500.0
26500,500.0
27000,453.75
27500,367.55
28000,365.4
28500,343.3
29000,296.5
29500,307.05
30000,286.4
30500,285.85
31000,282.35
31500,290.65
32000,292.55
32500,296.85
33000,307.25
33500,313.7
34000,313.35
34500,331.8
35000,374.4
35500,380.0
36000,382.1
36500,414.2
37000,446.8
37500,409.1
38000,329.4
38500,369.9
39000,381.05
39500,394.8
40000,378.85
40500,438.15
41000,450.45
41500,445.85
42000,487.05
42500,500.0
43000,499.25
43500,393.7
44000,500.0
44500,500.0
45000,482.8
45500,322.0
46000,500.0
46500,426.25
47000,500.0
47500,500.0
48000,500.0
48500,500.0
49000,500.0
49500,500.0
50000,500.0
50500,500.0
51000,500.0
51500,500.0
52000,500.0
52500,500.0
53000,500.0
53500,11.8
54000,18.15
54500,500.0
55000,500.0
55500,500.0
56000,500.0
56500,500.0
57000,500.0
57500,500.0
58000,500.0
58500,500.0
59000,500.0
59500,500.0
60000,500.0
60500,500.0
61000,500.0
61500,500.0
62000,500.0
62500,500.0
63000,376.5
63500,406.6
64000,420.0
64500,437.25
65000,462.15
65500,497.9
66000,500.0
66500,500.0
67000,500.0
67500,499.4
68000,500.0
68500,472.45
69000,443.55
69500,411.65
70000,400.45
70500,405.1
71000,395.0
71500,399.65
72000,388.8
72500,376.15
73000,385.1
73500,392.15
74000,387.0
74500,401.0
75000,407.8
75500,435.45
76000,439.25
76500,465.3
77000,313.9
77500,441.65
78000,500.0
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,498.7
81000,493.0
81500,500.0
82000,459.05
82500,500.0
83000,500.0
83500,500.0
84000,500.0
84500,453.4
85000,489.6
85500,500.0
86000,494.65
86500,495.25
87000,489.8
87500,500.0
88000,500.0
88500,500.0
89000,459.65
89500,476.3
90000,481.4
90500,500.0
91000,500.0
91500,500.0
92000,500.0
92500,500.0
93000,500.0
93500,500.0
94000,500.0
94500,500.0
95000,463.1
95500,500.0
96000,500.0
96500,469.85
97000,500.0
97500,500.0
98000,500.0
98500,498.1
99000,455.5
99500,406.0
