Step,Average Reward
0,23.3
500,36.4
1000,20.3
1500,21.9
2000,20.0
2500,18.3
3000,24.1
3500,25.6
4000,23.0
4500,27.5
5000,25.9
5500,22.3
6000,21.5
6500,21.1
7000,27.1
7500,26.4
8000,29.3
8500,21.2
9000,25.8
9500,21.6
10000,23.4
10500,10.2
11000,9.3
11500,36.0
12000,62.9
12500,77.0
13000,102.4
13500,123.7
14000,118.8
14500,151.1
15000,130.1
15500,213.7
16000,263.1
16500,274.2
17000,279.8
17500,330.6
18000,252.4
18500,338.5
19000,449.4
19500,346.1
20000,416.1
20500,466.9
21000,442.4
21500,369.1
22000,389.1
22500,426.4
23000,320.3
23500,386.0
24000,299.5
24500,340.2
25000,326.4
25500,267.3
26000,381.4
26500,437.6
27000,431.6
27500,364.1
28000,444.3
28500,442.7
29000,376.7
29500,420.8
30000,358.8
30500,477.5
31000,401.8
31500,393.5
32000,409.6
32500,385.6
33000,481.7
33500,400.8
34000,444.5
34500,405.2
35000,437.6
35500,329.8
36000,394.8
36500,388.4
37000,363.0
37500,399.9
38000,339.3
38500,405.2
39000,355.9
39500,416.8
40000,442.1
40500,374.3
41000,364.9
41500,400.6
42000,362.1
42500,341.0
43000,342.4
43500,430.0
44000,362.0
44500,404.2
45000,320.5
45500,378.8
46000,388.9
46500,315.0
47000,375.2
47500,382.0
48000,332.4
48500,407.8
49000,377.0
49500,349.8
50000,393.3
50500,362.8
51000,373.9
51500,437.6
52000,377.7
52500,353.8
53000,371.1
53500,400.8
54000,380.2
54500,367.1
55000,364.5
55500,368.1
56000,388.9
56500,384.7
57000,359.7
57500,415.3
58000,412.4
58500,400.8
59000,400.6
59500,437.6
60000,394.8
60500,421.7
61000,428.1
61500,432.9
62000,416.8
62500,477.5
63000,480.8
63500,449.4
64000,416.9
64500,493.6
65000,471.6
65500,475.9
66000,491.8
66500,481.2
67000,488.6
67500,455.9
68000,500.0
68500,485.2
69000,496.6
69500,460.5
70000,494.1
70500,500.0
71000,500.0
71500,496.3
72000,500.0
72500,484.2
73000,472.5
73500,457.8
74000,481.8
74500,496.6
75000,500.0
75500,500.0
76000,498.2
76500,500.0
77000,498.3
77500,500.0
78000,500.0
78500,500.0
79000,500.0
79500,500.0
80000,500.0
80500,202.8
81000,94.3
81500,500.0
82000,406.0
82500,500.0
83000,477.0
83500,500.0
84000,500.0
84500,500.0
85000,500.0
85500,500.0
86000,500.0
86500,500.0
87000,500.0
87500,500.0
88000,500.0
88500,500.0
89000,500.0
89500,500.0
90000,500.0
90500,500.0
91000,500.0
91500,500.0
92000,417.5
92500,388.7
93000,440.1
93500,480.5
94000,454.8
94500,440.7
95000,442.0
95500,390.5
96000,480.9
96500,500.0
97000,443.3
97500,353.6
98000,436.3
98500,422.9
99000,366.1
99500,492.0
