Step,Average Reward
0,28.579259999999795
1000,56.08314000000009
2000,-13.015560000000011
3000,9.004860000000066
4000,17.20043999999985
5000,69.96132
6000,33.97128000000011
7000,81.97512000000002
8000,-68.04210000000008
9000,27.304319999999827
10000,81.24437999999998
11000,-92.85260000000002
12000,-66.8842
13000,-50.0
14000,-50.0
15000,-57.16776000000003
16000,48.52081999999992
17000,-19.397240000000046
18000,-19.856980000000004
19000,12.193500000000046
20000,-53.042460000000005
21000,-59.86254
22000,-60.1631600000001
23000,-60.8
24000,-61.065599999999996
25000,-67.1
26000,-77.40233999999994
27000,-100.6707
28000,-59.0
29000,-80.0
30000,-72.30991999999965
31000,-78.08935999999977
32000,-78.8
33000,-78.37606000000001
34000,-72.31949999999982
35000,-91.37729999999996
36000,-88.35418000000013
37000,12.026439999999946
38000,-7.050779999999833
39000,-65.59179999999995
40000,-50.0
41000,-50.0
42000,-50.0
43000,-50.0
44000,-54.005680000000005
45000,-150.7354000000003
46000,-74.0
47000,-72.09860000000027
48000,-85.40351999999992
49000,-75.79869999999998
50000,-66.88991999999999
51000,-56.474519999999984
52000,-50.0
53000,-126.69233999999992
54000,-51.567399999999886
55000,-22.76273999999998
56000,-84.77932000000008
57000,-76.23650000000018
58000,-52.989159999999764
59000,-43.98141999999996
60000,-32.0009999999999
61000,-23.172359999999838
62000,-84.55323999999982
63000,-19.218840000000093
64000,-91.20613999999988
65000,-36.73761999999988
66000,-28.82275999999993
67000,45.01769999999998
68000,50.52144000000003
69000,-26.20247999999996
70000,-60.527400000000036
71000,-67.68268000000009
72000,-24.124139999999983
73000,-50.0
74000,-50.0
75000,-54.66593999999999
76000,-109.74267999999995
77000,-73.87678000000008
78000,-51.64825999999982
79000,-76.66823999999997
80000,-50.0
81000,-84.07010000000001
82000,-51.922500000000014
83000,-27.71916000000001
84000,-57.38424000000002
85000,-106.78850000000003
86000,-28.23138000000002
87000,-111.69340000000008
88000,-84.27912000000028
89000,-71.29337999999998
90000,-86.27584000000004
91000,-147.56955999999994
92000,-162.65287999999998
93000,-137.63256000000004
94000,-143.5030200000005
95000,-134.70612000000008
96000,-50.0
97000,-89.19736000000003
98000,-50.0
99000,-127.19453999999992
