Step,Average Reward
0,-53.1
1000,-24.1
2000,5.5
3000,-56.6
4000,-47.6
5000,-28.1
6000,-11.9
7000,-31.7
8000,-51.6
9000,3.8
10000,-103.5
11000,-105.6
12000,-126.2
13000,-58.9
14000,-52.5
15000,-100.4
16000,-99.9
17000,-50.0
18000,-73.7
19000,-50.0
20000,-73.2
21000,-126.3
22000,-71.6
23000,-61.9
24000,-50.0
25000,-60.6
26000,-50.0
27000,-50.0
28000,-50.0
29000,-50.0
30000,-50.0
31000,-52.8
32000,-50.0
33000,-50.0
34000,-50.0
35000,-50.0
36000,-50.0
37000,-50.0
38000,-50.0
39000,-50.0
40000,-50.0
41000,-50.0
42000,-50.0
43000,-50.0
44000,-50.0
45000,-50.0
46000,-50.0
47000,-50.0
48000,-50.0
49000,-50.0
50000,-50.0
51000,-50.0
52000,-50.0
53000,-50.0
54000,-50.0
55000,-50.0
56000,-50.0
57000,-50.0
58000,-50.0
59000,-50.0
60000,-50.0
61000,-50.0
62000,-50.0
63000,-69.6
64000,-50.0
65000,-69.6
66000,-71.4
67000,-66.3
68000,-90.7
69000,-68.1
70000,-50.0
71000,-50.0
72000,-50.0
73000,-70.2
74000,-89.2
75000,-50.0
76000,-92.2
77000,-50.0
78000,-50.0
79000,-50.0
80000,-50.0
81000,-71.4
82000,-70.2
83000,-50.0
84000,-111.5
85000,-50.0
86000,-50.0
87000,-50.0
88000,-71.7
89000,-50.0
90000,-50.0
91000,-50.0
92000,-50.0
93000,-50.0
94000,-50.0
95000,-50.0
96000,-50.0
97000,-50.0
98000,-50.0
99000,-50.0
