Step,Average Reward
0,-14.695999999999966
1000,-45.90799999999992
2000,-15.877999999999926
3000,-20.517999999999933
4000,13.496000000000029
5000,-81.18599999999986
6000,-15.015999999999973
7000,-59.38399999999996
8000,-73.7939999999999
9000,2.9640000000000954
10000,-35.35999999999997
11000,-125.2619999999999
12000,-115.2
13000,-110.1
14000,-173.4
15000,-132.3
16000,-138.6
17000,-124.5
18000,-143.1
19000,-30.9
20000,7.5
21000,-107.4
22000,-121.2
23000,-146.7
24000,-122.02999999999994
25000,-176.36999999999995
26000,-79.96600000000004
27000,-136.77799999999996
28000,-106.46000000000004
29000,-114.99799999999998
30000,-112.26599999999988
31000,-77.61400000000003
32000,31.78999999999998
33000,-26.596000000000025
34000,-128.30199999999996
35000,-14.486000000000065
36000,32.63800000000007
37000,-27.053999999999995
38000,-29.578000000000248
39000,-82.76800000000006
40000,-40.66000000000001
41000,-107.95000000000005
42000,-46.88599999999999
43000,-87.69399999999999
44000,-69.8
45000,-10.2
46000,-136.424
47000,-64.79600000000003
48000,-102.29400000000001
49000,-158.6
50000,-68.3
51000,-1.5
52000,15.1
53000,-83.47399999999996
54000,-50.0
55000,-104.1
56000,-128.69999999999987
57000,-56.00599999999995
58000,-96.58999999999996
59000,-181.6879999999999
60000,-54.67199999999993
61000,-107.77599999999987
62000,-101.72599999999997
63000,-89.24599999999995
64000,-144.89799999999988
65000,-107.29999999999991
66000,-128.34399999999988
67000,-66.69999999999995
68000,-95.3159999999999
69000,-101.92199999999991
70000,-113.19599999999991
71000,-71.42599999999993
72000,-79.17999999999995
73000,-94.96799999999988
74000,-104.98599999999992
75000,-140.42599999999985
76000,-99.04999999999991
77000,-119.38999999999996
78000,-74.21799999999999
79000,-90.32799999999989
80000,-22.88599999999993
81000,-50.0
82000,-132.5539999999999
83000,13.18600000000013
84000,-47.70799999999993
85000,-66.17599999999995
86000,-10.685999999999982
87000,-59.54199999999996
88000,-98.75399999999995
89000,-90.62799999999986
90000,-83.4319999999999
91000,-92.12399999999994
92000,-124.98399999999985
93000,-93.8939999999999
94000,-107.15399999999981
95000,-131.3139999999999
96000,-165.60399999999981
97000,-75.80799999999998
98000,-135.46599999999987
99000,-66.63599999999995
