Step,Average Reward
0,-74.2
1000,-72.3
2000,-105.4
3000,-95.8
4000,-28.2
5000,-70.2
6000,-85.7
7000,-118.2
8000,-92.5
9000,-69.6
10000,-50.0
11000,-141.7
12000,-176.7
13000,-96.6
14000,-103.2
15000,-85.6
16000,-147.5
17000,-96.2
18000,-121.1
19000,-163.7
20000,-178.8
21000,-20.7
22000,-115.8
23000,-70.8
24000,-76.2
25000,-72.0
26000,40.8
27000,-99.9
28000,-233.7
29000,-243.9
30000,-130.5
31000,-183.0
32000,-162.3
33000,-157.5
34000,-140.4
35000,-158.4
36000,-155.7
37000,-165.6
38000,-114.9
39000,-150.9
40000,-169.2
41000,-128.4
42000,-153.9
43000,16.2
44000,-54.0
45000,-130.2
46000,-57.0
47000,14.7
48000,-36.3
49000,-129.0
50000,-117.9
51000,-97.8
52000,-181.2
53000,-62.7
54000,-146.4
55000,-107.4
56000,-142.8
57000,-111.0
58000,-101.4
59000,-143.7
60000,-32.7
61000,-100.8
62000,-112.5
63000,-111.3
64000,-101.1
65000,-131.1
66000,-15.3
67000,-117.9
68000,-78.0
69000,-136.2
70000,-76.2
71000,-60.9
72000,-89.4
73000,-156.6
74000,-18.0
75000,-146.7
76000,-102.7
77000,-119.7
78000,-95.3
79000,-115.2
80000,-92.6
81000,-152.4
82000,-135.2
83000,-140.1
84000,-118.5
85000,-88.4
86000,-123.4
87000,-126.8
88000,-72.3
89000,-91.8
90000,-124.4
91000,-151.8
92000,-95.1
93000,-181.2
94000,-20.7
95000,-159.3
96000,-102.6
97000,-6.0
98000,-186.0
99000,-88.8
