Step,Average Reward
0,-86.9
1000,-106.5
2000,-51.0
3000,-98.9
4000,-65.3
5000,-74.6
6000,-73.9
7000,-117.8
8000,-75.5
9000,-94.5
10000,-51.3
11000,-37.5
12000,-110.3
13000,-163.9
14000,-163.6
15000,-78.2
16000,-134.7
17000,-103.6
18000,-100.3
19000,-81.8
20000,-61.4
21000,-115.5
22000,6.6
23000,0.0
24000,-7.5
25000,-57.9
26000,50.7
27000,-123.3
28000,-170.4
29000,-201.3
30000,-164.7
31000,-105.6
32000,-167.4
33000,-33.0
34000,-47.7
35000,70.8
36000,-68.4
37000,-62.4
38000,-55.5
39000,-42.6
40000,-136.2
41000,-54.3
42000,-150.9
43000,-78.3
44000,-140.7
45000,-48.0
46000,-110.1
47000,-84.6
48000,-25.2
49000,-49.5
50000,-121.2
51000,-33.3
52000,-84.0
53000,52.2
54000,-105.3
55000,-10.8
56000,-97.5
57000,-124.8
58000,-39.9
59000,-94.8
60000,-128.4
61000,-51.3
62000,-59.1
63000,-62.1
64000,-40.2
65000,-65.7
66000,-176.4
67000,-132.6
68000,-120.0
69000,-78.0
70000,-106.8
71000,-74.7
72000,-159.9
73000,-149.7
74000,-77.7
75000,-157.8
76000,-105.3
77000,-108.0
78000,-56.4
79000,-70.5
80000,-115.2
81000,-120.6
82000,-130.8
83000,-90.9
84000,-105.6
85000,-135.9
86000,-100.8
87000,-75.9
88000,-67.2
89000,-133.2
90000,-30.0
91000,-107.4
92000,-134.4
93000,-183.0
94000,-172.5
95000,-106.5
96000,-47.1
97000,-57.3
98000,-1.2
99000,-79.8
