Step,Average Reward
0,-63.86037999999915
1000,-34.2806199999992
2000,-67.09333999999892
3000,-79.15533999999923
4000,-70.97695999999877
5000,-83.122279999999
6000,-82.49617999999904
7000,-63.32145999999826
8000,-50.8907599999986
9000,-98.30297999999807
10000,-94.7861999999981
11000,-49.445039999998436
12000,-158.97881999999726
13000,-94.16755999999768
14000,-66.23377999999882
15000,-53.91125999999961
16000,-58.21863999999805
17000,-107.03377999999881
18000,-107.64503999999843
19000,-78.30133999999649
20000,-96.57881999999728
21000,-50.0
22000,-98.05629999999803
23000,-73.75629999999803
24000,-137.67881999999724
25000,-84.43747999999891
26000,-109.18135999999757
27000,-60.57125999999963
28000,-50.0
29000,-50.0
30000,-50.0
31000,-50.0
32000,-50.0
33000,-50.0
34000,-50.0
35000,-50.0
36000,-50.0
37000,-50.0
38000,-50.0
39000,-50.0
40000,-50.0
41000,-50.0
42000,-50.0
43000,-50.0
44000,-50.0
45000,-50.0
46000,-50.0
47000,-50.0
48000,-50.0
49000,-50.0
50000,-50.0
51000,-50.0
52000,-50.0
53000,-50.0
54000,-50.0
55000,-50.0
56000,-50.0
57000,-50.0
58000,-50.0
59000,-50.0
60000,-50.0
61000,-50.0
62000,-50.0
63000,-50.0
64000,-50.0
65000,-50.0
66000,-50.0
67000,-50.0
68000,-50.0
69000,-50.0
70000,-50.0
71000,-50.0
72000,-50.0
73000,-50.0
74000,-50.0
75000,-50.0
76000,-50.0
77000,-50.0
78000,-50.0
79000,-50.0
80000,-50.0
81000,-50.0
82000,-50.0
83000,-50.0
84000,-50.0
85000,-50.0
86000,-50.0
87000,-50.0
88000,-50.0
89000,-50.0
90000,-50.0
91000,-50.0
92000,-50.0
93000,-50.0
94000,-50.0
95000,-50.0
96000,-50.0
97000,-50.0
98000,-50.0
99000,-50.0
