Step,Average Reward
0,-68.2
1000,-70.3
2000,-76.7
3000,-57.7
4000,-64.3
5000,-32.2
6000,-71.7
7000,-32.5
8000,-84.4
9000,-40.4
10000,-52.5
11000,-111.7
12000,-21.1
13000,-5.5
14000,-13.9
15000,-39.0
16000,-101.4
17000,-82.9
18000,-67.3
19000,-138.1
20000,-115.9
21000,-35.7
22000,-102.6
23000,-100.5
24000,-142.8
25000,-67.8
26000,-116.7
27000,-132.9
28000,-97.2
29000,-121.2
30000,-112.4
31000,-94.8
32000,-81.4
33000,-158.3
34000,-60.3
35000,-131.7
36000,-152.6
37000,-136.3
38000,-76.4
39000,-102.9
40000,-60.0
41000,-68.8
42000,-70.8
43000,-150.0
44000,-167.7
45000,-166.8
46000,-123.3
47000,-146.4
48000,-86.4
49000,-191.4
50000,-153.3
51000,-165.6
52000,-158.7
53000,-148.8
54000,-124.7
55000,-122.8
56000,-108.0
57000,-131.6
58000,-196.0
59000,-56.6
60000,-72.0
61000,-107.2
62000,-160.9
63000,-120.1
64000,-145.5
65000,-132.2
66000,-132.8
67000,-20.8
68000,-171.1
69000,-102.5
70000,-119.2
71000,-55.1
72000,-124.5
73000,-123.0
74000,-63.0
75000,-131.0
76000,-54.4
77000,-79.6
78000,-91.1
79000,-77.7
80000,-134.9
81000,-135.6
82000,-72.5
83000,-130.8
84000,-107.3
85000,-80.0
86000,-114.4
87000,-88.4
88000,-64.4
89000,-83.5
90000,-151.2
91000,-32.8
92000,-114.1
93000,-115.4
94000,-65.4
95000,-140.8
96000,-110.8
97000,-71.5
98000,-108.6
99000,-39.9
