Step,Average Reward
0,-218.10709818325162
500,-201.87943028842352
1000,-176.15873279484632
1500,-204.68215891477104
2000,-146.93632802647298
2500,-160.53246574613783
3000,-201.41720463893188
3500,-164.63392593560084
4000,-659.2317534235084
4500,-288.5531012579192
5000,-99.55755000966668
5500,-107.7528219315875
6000,-146.59310898070743
6500,-310.1623830672825
7000,-60.358406403563514
7500,-455.5066526519307
8000,-114.41830362634627
8500,-94.23904332203833
9000,-505.73463829399395
9500,-13.426086696572057
10000,-60.705432006258874
10500,-270.00928505438947
11000,-215.07095014921407
11500,-131.3942779154276
12000,-37.34352471062041
12500,-178.51643275934217
13000,-125.35923854999245
13500,-88.4712682324086
14000,-55.15229519345904
14500,-225.34655050005262
15000,-17.41409322104338
15500,-121.87513714988268
16000,-11.27837359453876
16500,-158.05751984182592
17000,-72.66404282238645
17500,-190.0282188779091
18000,-70.91797593079053
18500,-124.39424133340053
19000,-42.32524358164101
19500,-145.26783457384923
20000,-48.40202277294385
20500,-113.51800766849188
21000,-85.1983540310967
21500,-86.91508210905818
22000,-273.6850447494365
22500,-92.3104865825562
23000,-89.47895076306085
23500,-162.837137807648
24000,1.6640148305890627
24500,-72.64577621866457
25000,-55.105897248680705
25500,-68.26827754629419
26000,-96.55826425643262
26500,-52.9572966915358
27000,-61.70437027473948
27500,-76.36550727839693
28000,-80.97498021365772
28500,-84.61784827026806
29000,-66.30970692699641
29500,-80.46063970482065
30000,-65.07166686452798
30500,-78.18691695994421
31000,-76.67345116983974
31500,-76.84098204340697
32000,-75.7355898752727
32500,-95.62761237214404
33000,-70.2704859960681
33500,-79.1589830889993
34000,-67.95120548145607
34500,-85.76151823834444
35000,-69.02718612506304
35500,-67.01487098761727
36000,-72.94371435346467
36500,-60.18619069350147
37000,-66.4868370727237
37500,-70.03383405637949
38000,-65.60474640288666
38500,-78.67590019299192
39000,-68.2390809673595
39500,-98.07926402790785
40000,-77.92314934362336
40500,-71.36463817613674
41000,-67.12349556326618
41500,-75.94126087715219
42000,-66.56515266550998
42500,-74.07497037335855
43000,-69.15015375819148
43500,-89.64796027478965
44000,-71.52727995833635
44500,-72.47238006850259
45000,-62.3398514763629
45500,-76.60479232303024
46000,-76.35347039047097
46500,-78.48494577927652
47000,-82.72837221755573
47500,-81.25555611964116
48000,-79.11740419877842
48500,-87.42776359514608
49000,-78.72635616254009
49500,-67.80680631271561
50000,-91.84162328386252
50500,-103.42518251160206
51000,-68.74038534475548
51500,-79.61219193441059
52000,-92.79437228859268
52500,-104.22040437023323
53000,-104.32173208220601
53500,-108.42396750541323
54000,-121.01052924426524
54500,-113.50727061515882
55000,-118.18639741572085
55500,-91.35759748062964
56000,-108.18810738954849
56500,-113.14271963723142
57000,-102.71744948477117
57500,-90.76142093371703
58000,-116.76072447792644
58500,-109.94554449621005
59000,-111.02984446817882
59500,-98.5230267578888
60000,-97.012732565154
60500,-91.66978338488812
61000,-111.96079988665039
61500,-113.7523213354552
62000,-109.41618444643527
62500,-105.14734221389574
63000,-116.70533446721512
63500,-122.10546505041843
64000,-115.46442643925074
64500,-90.15040499807188
65000,-92.56522864670328
