Step,Average Reward
0,-242.5209410664112
500,-212.5717231789854
1000,-267.83796772539057
1500,-297.15845361602743
2000,-265.4248247859467
2500,-268.0391061806738
3000,-191.4514479135052
3500,-255.17124473797782
4000,-249.9910133436315
4500,-296.04022790203777
5000,-271.47775011213287
5500,-216.04100082300494
6000,-232.44020207260024
6500,-192.73456047593822
7000,-288.8227240291282
7500,-235.28407406410787
8000,-259.79380598808984
8500,-160.82939324881707
9000,-255.52965667934518
9500,-181.91881220459675
10000,-288.18067343390163
10500,-594.8436553067429
11000,-249.59805009964384
11500,-196.94694365517574
12000,-123.0670477365682
12500,-90.17100739956992
13000,-46.36993818157511
13500,-49.91365992333732
14000,-28.570173314206308
14500,-25.140500603952958
15000,-23.419349887319683
15500,-6.992174333372671
16000,-23.265933954630878
16500,-109.90854735871005
17000,17.374181765911793
17500,23.779846126487808
18000,-37.679444132344244
18500,-20.798313788121536
19000,-114.53832527709525
19500,-157.83543927036243
20000,-131.01963725972942
20500,-164.23397818957443
21000,-158.67977032221685
21500,-170.85707834792808
22000,-178.18972220762907
22500,-163.6821103694298
23000,-141.65994272367953
23500,-176.34701276276067
24000,-138.44518864003675
24500,-109.64290310521085
25000,-110.18380134488044
25500,-91.79152245656226
26000,-51.46869995209211
26500,-46.48562355660917
27000,-49.63197683135485
27500,-33.99988177740893
28000,-34.204098461419605
28500,-14.663882848660402
29000,-65.98079328910873
29500,-38.10831003594122
30000,-18.268013566398857
30500,-43.53392692366916
31000,-43.30272100164728
31500,-78.78213871447396
32000,-77.4701547749984
32500,-67.71287928343449
33000,-63.08425623051555
33500,-57.19124931133824
34000,-57.501834615045695
34500,-54.91367877972861
35000,-67.66040042363292
35500,-57.38241159346393
36000,-31.026693722474715
36500,-59.17720386838006
37000,-4.155602908396721
37500,97.30903976480302
38000,-8.306960963072106
38500,-94.54472121578141
39000,-131.79275139556097
39500,-130.5669685570966
40000,-47.609337411209495
40500,-97.79826130737466
41000,-112.85739572294906
41500,-97.02325981586229
42000,-96.81553778817315
42500,-114.45080324432669
43000,-118.37373597750096
43500,-129.39950538245566
44000,-12.262205280620806
44500,-65.0608956261294
45000,-7.328496739026673
45500,-6.529923194158857
46000,-4.14073379094839
46500,-32.45268078798757
47000,-10.04160465403697
47500,-11.07779384111386
48000,-7.7718088094643445
48500,1.5562547709188064
49000,-30.300885507179526
49500,-13.464245805949176
50000,47.10079314583891
50500,-5.884564751270046
51000,-3.5023137198249876
51500,-18.81460140412682
52000,-37.671667813369496
52500,-50.67033588455438
53000,-76.3194379897854
53500,-37.80770761156661
54000,-55.82785279648981
54500,-88.4784404620611
55000,-49.69164653535662
55500,-61.19067515460365
56000,-82.00687875931689
56500,-77.55258024380605
57000,-88.68132644717741
57500,-87.68244631089273
58000,-79.86926777015432
58500,-99.00248475966973
59000,-114.75527557447808
59500,-129.96390783285253
60000,-112.12084184951478
60500,-156.07783256686383
61000,-165.7415328168438
61500,-155.5397611320115
62000,-112.09569438472303
62500,-68.11538623050382
63000,-127.85739120381568
63500,-91.05613362519146
64000,-110.43482438079718
64500,-104.56974656006574
65000,-115.8444506026347
65500,-129.54427745117937
66000,-113.07773870141257
66500,-132.83018409903804
67000,-121.20104814133265
67500,-131.17860898450311
68000,-141.2657003801005
68500,-162.0272231105576
69000,-156.04090837975082
69500,-141.28891006843054
70000,-142.13872830950373
70500,-134.4358722714023
71000,-136.53935138253212
71500,-133.16837430524788
72000,-103.10239131499911
72500,-67.75740677105343
73000,-62.27664243772064
73500,-51.65876627393347
74000,-46.90193601288034
74500,-31.887995099256994
75000,-35.76511229145542
75500,-22.197392398493268
76000,-20.46172396167114
76500,-39.756823328247876
77000,-45.61210568465129
77500,-38.620162151864676
78000,-47.18626298534265
78500,-56.055805558515225
79000,-31.177102820316314
79500,-44.40085708042692
80000,-40.43081928199593
80500,-22.73773681352003
81000,-27.788827742616824
81500,-39.05828893488361
82000,-30.303083662896682
82500,-40.094863095350945
83000,-33.96371865867377
83500,-44.09695837708362
84000,-39.7341216097042
84500,-46.252578335409304
85000,-22.79812259846428
85500,-41.49173306775691
86000,-30.83297213292362
86500,-32.53510122196668
87000,-30.029238851588087
87500,-44.85896444787032
88000,-36.65969708389307
88500,-37.930596353675554
89000,-44.79033851245616
89500,-43.65511575555165
90000,-32.95349095135558
90500,-38.23049247946854
91000,-42.93765941262096
91500,-28.10730597692975
92000,-45.540066772991835
92500,-41.398306248156025
93000,-36.04335327063149
93500,-39.913112971703306
94000,-43.55678769368836
94500,-28.619537788421276
95000,-18.13206511345171
95500,-36.291024498853474
96000,-32.20456034649604
96500,-29.652537358011518
97000,-23.024739853442696
97500,-26.193041675570463
98000,-42.17665638920573
98500,-83.50640097846966
99000,-77.71259253672234
99500,-80.74829304776418
100000,-53.11076321238687
100500,-37.88148179296661
101000,-58.107774011214154
101500,-36.1820912189932
102000,-46.32464922383898
102500,-71.945006958337
103000,-45.680218650282896
103500,-81.11194679948652
104000,-69.12460103006877
104500,-120.41767756075237
105000,-83.86379414385328
105500,-113.54231149942504
106000,-103.24698754025246
106500,-111.69600794274584
107000,-110.91368325400708
107500,-74.32215699052527
108000,-84.81586073064871
108500,-86.45213944940318
109000,-85.38877075281903
109500,-91.5524386839138
110000,-84.22868881232411
110500,-71.25458204705498
111000,-122.03571272028564
111500,-98.01309261319582
112000,-91.72641875743734
112500,-92.69465083549694
113000,-106.24333715666937
113500,-125.88273202301673
114000,-87.14082921311623
114500,-60.63131456960684
115000,-99.6882185595471
115500,-86.41871700689163
116000,-75.79790953250497
116500,-79.8563414157045
117000,-108.31399783045124
117500,-84.08218592931034
118000,-73.02747286781394
118500,-71.07433616529465
119000,-89.74942315836567
119500,-79.65044045089306
120000,-67.48638549398814
120500,-89.54742473121374
121000,-62.03129913475516
121500,-86.6099931543872
122000,-117.57431245896018
122500,-103.5665299630482
123000,-125.6345566328346
123500,-109.63899128789247
124000,-64.45822571635827
124500,-46.55484013324852
125000,-44.0430166400726
125500,-45.18831656207585
126000,-74.00847101966004
126500,-56.93851744153899
127000,-79.62327134174286
127500,-48.2434443380683
128000,-31.357517191337468
128500,-36.36761545578487
129000,-36.60423535768162
129500,-43.632229754894304
130000,-41.57222415697445
130500,-52.55943695655039
131000,-62.147715533224016
131500,-60.39343565437457
132000,-57.50262364514913
132500,-55.0079349539544
133000,-61.75022522159985
133500,-35.656779888013
134000,-46.63844313591464
134500,-50.345757917947445
135000,-42.07267529866901
135500,-42.59198919999217
136000,-53.57694948606784
136500,-60.12975887099846
137000,-50.70560647835124
137500,-56.406413292079876
138000,-66.37744799175152
138500,-45.34461413658437
139000,-41.04314063480515
139500,-48.32175449599311
140000,-50.59500711783109
140500,-35.34951140641355
141000,-34.09445508164942
141500,-28.429934453009157
142000,-35.26204484633942
142500,-40.180236859915034
143000,-30.76872109320697
143500,-31.35979494301315
144000,-41.1931777378346
144500,-45.723748137320925
145000,-39.98303264054815
145500,-75.23144912509426
146000,-139.63150011693847
146500,-141.53356977380636
147000,-185.1949406077187
147500,-145.2278978600993
148000,-216.34153947162636
148500,-140.6738432884595
149000,-116.19743161904918
149500,-171.29420195003738
150000,-185.97864279237228
150500,-265.35962102942165
151000,-227.89112124305575
151500,-200.64243933094082
152000,-227.62063542861583
152500,-81.42728732555369
153000,-97.34550142922652
153500,-76.51767632770728
154000,-61.31009100719465
154500,-51.46469939548219
155000,-61.07115056006667
155500,-76.96867044780825
156000,-120.47538346370273
156500,-134.29131253899354
157000,-146.8875511261866
157500,-87.10241929191339
158000,-118.56529248706661
158500,-83.73307463864033
159000,-69.41153832513331
159500,-64.64929556402586
160000,-77.65760112517705
160500,-129.66622050640993
161000,-156.71293851393165
161500,-78.68318016994172
162000,-79.87204924330071
162500,-85.91721086854048
163000,-66.17771689646636
163500,-60.180031824173156
164000,-63.29226513847574
164500,-68.92453295355976
165000,-69.23756412078158
165500,-46.79791283224316
166000,-56.99167279796931
166500,-66.00733390948537
167000,-44.322799848433164
167500,-40.431691934958806
168000,-47.31740474082458
168500,-42.51494673321371
169000,-67.30547162449542
169500,-92.18970176016329
170000,-223.5603280727144
170500,-217.868831193598
171000,-281.3006896294313
171500,-226.6228902778245
172000,-239.4379843543505
172500,-165.28381176167017
