Step,Average Reward
0,-132.89432622765383
500,-144.05440912816096
1000,-173.79891187061088
1500,-194.48925877769966
2000,-164.57044167220968
2500,-131.00330796047365
3000,-114.18632574126605
3500,-187.60888199134723
4000,-210.28001625648795
4500,-136.4188557761962
5000,-170.58363743237106
5500,-135.12166805807516
6000,-177.8788916765118
6500,-132.4734313855077
7000,-166.56071617248097
7500,-155.209205861897
8000,-219.14485483875433
8500,-157.15432876895312
9000,-197.4617860800491
9500,-211.36040262633634
10000,-146.97276401900106
10500,-552.9093018507828
11000,-802.4671526579207
11500,-292.09138574308986
12000,-185.09211712589416
12500,-142.79603960956499
13000,-92.74638085101195
13500,-76.95149306623195
14000,-63.630369875001975
14500,-21.331738951704786
15000,-15.182887127757203
15500,-2.562484168119697
16000,-4.7529826719617265
16500,-45.48434044731192
17000,-73.82554175255474
17500,-58.369215905071734
18000,-112.40023231803362
18500,-112.04280203122644
19000,-140.3014243515997
19500,-114.36565065556476
20000,-108.1357285685294
20500,-159.65262423976324
21000,-179.45529095507075
21500,-115.12080163050628
22000,-93.45297694788847
22500,-110.54020719942739
23000,-70.06022233247256
23500,26.285348198140973
24000,-24.678356808349115
24500,-153.8187418641075
25000,-58.92293402288774
25500,-95.52260469943462
26000,-100.01778509582569
26500,-60.55785368764862
27000,-158.21455122143502
27500,-65.9476136058505
28000,-70.04955238463552
28500,-52.80861899916772
29000,-61.89263832456972
29500,-52.924584799004286
30000,-63.23492859444501
30500,-68.48590344363775
31000,-64.67294386576364
31500,-61.07049851417044
32000,-76.69604675293493
32500,-64.32939532489956
33000,-54.71165998304406
33500,-73.76301045562298
34000,-107.09574335318219
34500,-131.4186933778515
35000,-110.8511536030007
35500,-105.01350917816076
36000,-123.24838474300225
36500,-89.98675715880805
37000,-90.11518596937731
37500,-96.61356007338118
38000,-105.5459672135162
38500,-86.30198271071369
39000,-75.59330222537875
39500,-73.60316224383828
40000,-77.62021132960118
40500,-72.8708749468331
41000,-94.30311218502798
41500,-71.13034296125075
42000,-71.27143368339668
42500,-76.47110213108824
43000,-68.74156722448542
43500,-77.7943104223768
44000,-58.21777017978381
44500,-77.18259662058561
45000,-89.48982026937016
45500,-63.34207374181976
46000,-55.60382592522653
46500,-53.91786701529537
47000,-105.40860601849545
47500,-70.83942299495251
48000,-68.63284712526028
48500,-69.09338630768892
49000,-64.23555980653634
49500,-65.35630007914617
50000,-87.15195839816262
50500,-72.71273294096036
51000,-64.98857224208504
51500,-81.20495711498401
52000,-61.08350289835486
52500,-73.6909228483013
53000,-80.32271941485297
53500,-74.5400873841653
54000,-85.30473111020608
54500,-82.56640769594523
55000,-84.43679545738782
55500,-72.79366901156085
