Step,Average Reward
0,-173.3115860215704
500,-192.4211149939091
1000,-198.33820036522036
1500,-210.1607394528688
2000,-195.4940264061045
2500,-161.10142628685645
3000,-153.14991319153572
3500,-186.24804557172777
4000,-160.40669868729387
4500,-215.05162691010554
5000,-161.73333626140334
5500,-172.76904962740775
6000,-242.2158680203217
6500,-146.0082325807265
7000,-173.1640616810356
7500,-128.05095801759126
8000,-146.33180150445273
8500,-214.7017853027336
9000,-209.07789506691302
9500,-281.5547973901538
10000,-216.74594497639418
10500,-624.0934459555995
11000,-381.78395298067346
11500,-178.15656529229648
12000,-106.51719599489797
12500,-30.27981649052211
13000,-130.8154274517497
13500,-18.688214874381952
14000,-48.005969366807825
14500,-63.10077215941574
15000,-39.833696907310284
15500,-110.63443789813084
16000,-52.445347043200094
16500,-74.19961400037438
17000,-109.86438544438181
17500,-147.94188464277596
18000,-47.55450766875552
18500,-102.64316756613425
19000,-125.60857759508892
19500,-135.00004381229192
20000,-35.054687687262195
20500,-110.79278264594589
21000,-214.9372576492246
21500,-173.90184903255664
22000,-158.63894032912756
22500,-109.71822866768291
23000,-80.63622667620348
23500,-67.63670158256971
24000,-88.83275256774681
24500,-79.89546668308932
25000,-88.47589446592245
25500,-79.70079777014004
26000,-95.09981797070564
26500,-96.97680564682312
27000,-102.63785699256891
27500,-89.7163109457586
28000,-101.69367558307978
28500,-73.46856947492218
29000,-65.41433301631149
29500,-95.82437777911417
30000,-93.51543112930854
30500,-78.03194772306563
31000,-53.093574324282805
31500,-71.97251645060685
32000,-100.61603539431707
32500,-83.8485437020073
33000,-81.96986233705478
33500,-104.15984924542072
34000,-98.96769163357294
34500,-96.0457305698566
35000,-98.3694857713507
35500,-77.35352652278159
36000,-104.98194388977451
36500,-98.50554467664386
37000,-98.00859182567369
37500,-103.54962148088154
38000,-76.2362492338884
38500,-89.92185809379609
39000,-98.9889991683272
39500,-121.81146120283636
40000,-73.68447672586042
40500,-35.22035702512465
41000,-73.87106942355379
41500,-42.517492169696325
42000,-5.839775271674908
42500,-32.12362489273339
43000,19.147964086588672
43500,-103.62174872086499
44000,40.33023661545549
44500,-21.47343182551277
45000,-77.59187037386185
45500,-16.865628976664777
46000,7.717813379623616
46500,-70.21159904347822
47000,-74.61947950135968
47500,-40.47007493323237
48000,-73.60659409960242
48500,-49.75899519386225
49000,-92.59306752996228
49500,-78.86649613454195
50000,-97.11143427397364
50500,-69.33671495432387
51000,-83.80621114970742
51500,-83.29430723254367
52000,-78.97331988543691
52500,-67.35166534763783
53000,-84.25936355450764
53500,-93.56141052861082
54000,-101.16555478100585
54500,-90.85060206873723
55000,-87.82465264881378
55500,-108.72660979152197
56000,-106.05007353464914
56500,-93.02970165517901
57000,-97.66771965661233
57500,-111.63803151254152
58000,-100.15557801386723
58500,-112.1964647165918
59000,-122.92441577991494
59500,-109.22275922758631
60000,-101.83755059562296
60500,-88.32485746901264
61000,-93.12500341650828
61500,-102.40471778374788
62000,-99.22509733846275
62500,-67.40892255349779
63000,-98.52938852841298
63500,-79.9310555991294
64000,-77.87699725760879
64500,-75.53742918470297
65000,-91.47563554082015
65500,-72.14320962126266
66000,-103.16569417023007
66500,-105.11219271421825
67000,-117.98931485889946
67500,-125.10803022439575
68000,-113.26304465030253
68500,-101.53874288800594
69000,-102.22621883143665
69500,-112.93884338513624
70000,-96.602869316251
70500,-115.30732451136222
71000,-104.49627242073441
71500,-110.59237093964677
72000,-86.93790268093953
72500,-84.58505426034111
73000,-135.4064456022034
73500,-103.87150052909544
74000,-97.33128183199082
74500,-79.94542304725249
75000,-115.30740784515824
75500,-118.3267162653547
76000,-140.9761707965401
76500,-201.81499791461476
77000,-218.64019584649515
77500,-133.18091695153194
78000,-123.00985864135609
78500,-144.32476265858568
79000,-174.58238880892853
79500,-229.55183732794603
80000,-313.74082869039836
80500,-346.2666325231814
81000,-299.4438353257136
81500,-176.53180048365715
82000,-196.7816995763805
82500,-166.16812958869968
83000,-184.61987949405676
83500,-291.69431640759313
84000,-222.94611440727812
84500,-136.06909174221343
85000,-107.01672759482032
85500,-104.83863488094737
86000,-131.41168821782628
86500,-171.4390254341695
87000,-119.77819104209114
87500,-151.45146555634398
88000,-141.3926472758593
88500,-158.33902260937887
89000,-204.348347531122
89500,-108.1755123700699
90000,-118.64522401014278
90500,-187.39706074718862
91000,-30.47039523958407
91500,-84.23932146102165
92000,-96.74453253389223
92500,-98.4873383432412
93000,-130.43973227427503
93500,-124.09512605506583
94000,-169.70926670358776
94500,-124.73186513164804
95000,-135.36916971616884
95500,-121.73967657559976
96000,-76.89737186896303
96500,-54.90482047786492
97000,20.51204806142905
97500,-29.55310395617812
98000,-53.97407559714289
98500,69.89645465899541
99000,62.50481720478982
99500,-48.5652290046611
100000,-61.253283846034755
100500,-76.7876336530346
101000,-98.2144064169805
101500,-89.08073459815117
102000,-82.12935930519676
102500,-138.4066691498903
103000,-107.30616867686948
103500,-94.60226416229659
104000,-71.8801245676658
104500,-67.68562811880187
105000,-27.298108932563668
105500,-31.718480212507096
106000,-42.90294300269963
106500,-49.189292475685335
107000,-47.058775944467875
107500,-51.091019285650766
108000,-79.6926941475545
108500,23.97030542102562
109000,-79.1235695706002
109500,47.150013546572076
110000,40.162202848819845
110500,124.24142190741773
111000,-9.280506104386157
111500,32.009764663879686
112000,89.63189262836939
112500,-38.937213731826134
113000,-66.66452946945664
113500,-8.836574283550807
114000,-6.724671275027356
114500,-36.6215527301876
115000,184.64814671828617
115500,114.05283238033664
116000,106.60434313417163
116500,34.26371404122077
117000,106.82246276187303
117500,138.21552758984075
118000,196.6261223452929
118500,208.2485087134487
119000,31.274466726864823
119500,125.69151578141036
120000,110.16969200474152
120500,94.44926607503851
121000,-0.8708501608477064
121500,34.49730668622116
122000,-67.56308496538684
122500,-77.49345075974789
123000,-75.37847805624976
123500,-90.52585514867054
124000,-107.17774365291075
124500,-77.25177036822839
125000,-135.4216921826958
125500,-75.16992622893723
126000,-147.99502421823246
126500,-75.39155986520117
127000,-85.30100439334161
127500,-48.282026161479806
128000,14.212965926592641
128500,-30.254376507376797
129000,-3.723605717302373
129500,48.22913530343791
130000,-45.29264754090822
130500,1.8784942096156214
131000,11.800790929942213
131500,-11.046801759597411
132000,-5.667822523792165
132500,17.68096824502861
133000,76.52223827521985
133500,105.00675844530849
134000,17.72638616924926
134500,42.46323026694191
135000,-22.478976824210285
135500,-6.37595610865
136000,24.490786439097384
136500,40.63311301826946
137000,26.457857699868477
137500,54.71531720943186
138000,22.104086514282994
138500,106.3671593656405
139000,-47.76413800579043
139500,24.794831983661666
140000,16.779878414498487
140500,-8.02438165054459
141000,14.291297020995799
141500,-1.6143263240777592
142000,-12.947853166252404
142500,0.47999250105475866
143000,26.16426022096679
143500,35.71427440672838
144000,55.971858231399224
144500,18.205059236924427
145000,34.14181539290289
145500,23.32365659065251
146000,37.09783853191439
146500,-5.790906596847577
147000,48.513773384034586
147500,-2.9461608774914323
148000,0.7816847956512071
148500,10.309810101686198
149000,5.961367971922499
149500,-7.9744796535431295
150000,-13.87794008601223
150500,-19.664983127355274
151000,-15.554152372590195
151500,-33.407947713738146
152000,-43.65761068014779
152500,-79.88970537140361
153000,22.50265832030283
153500,-46.66532819791728
154000,-30.26759030791273
154500,-3.513341619154326
155000,-25.7642920412909
155500,-5.839967954243358
156000,-34.925494593369685
156500,-53.22695344259896
157000,-38.99379270833285
157500,-5.6743345639448295
158000,-14.335177028711694
158500,-76.99588833306458
159000,-35.22772186005431
159500,3.558897060504388
160000,-6.99829704976635
160500,-50.6885441437942
161000,-3.597842293596144
161500,-20.09010056859791
162000,3.653351414336968
162500,-108.65007604648045
163000,-60.09572544911132
163500,-133.4990961054556
164000,-100.37709127011196
164500,-76.8888859652188
165000,-49.77237070769554
165500,-85.09207376811239
166000,-27.613871894326586
166500,-88.87090545429938
167000,-60.854296074502976
167500,-34.7466065381789
168000,-40.00531355789491
168500,-154.50542109269003
169000,-92.15736220981547
169500,-136.7351674417657
170000,-165.44325098782548
170500,-199.71267400027182
171000,-154.05475109066495
171500,-167.363806989456
172000,-306.2819055918527
172500,-337.8455922539895
173000,-161.86473812552208
173500,-240.43557624303457
174000,-303.9711952993161
174500,-344.75796377981794
175000,-252.7034307545624
175500,-246.29063569453416
176000,-199.93187414406577
176500,-247.54889838265154
177000,-80.11500135195533
177500,-85.95685807652974
178000,-71.5361393202417
178500,-86.82618807740775
179000,-69.24440060202356
179500,-92.34230977632362
180000,-56.61701239549213
180500,-59.1305046937238
181000,-45.56841310159566
181500,-41.372892125711076
182000,-30.480758597280165
182500,-1.1248169647686426
183000,-142.7310942795353
183500,133.36878355548262
184000,148.28496116592586
184500,-150.06394541408048
185000,-77.74287294530492
185500,-176.1820658494018
186000,-239.8941938982332
186500,-252.68562706139332
187000,-210.31053116231868
187500,-154.82647751958285
188000,-246.0426574657301
188500,-233.1061228175375
189000,-204.07776290505862
189500,-233.70658468979394
190000,-271.3930494514494
190500,-247.05917950041317
191000,-201.89355705602537
191500,-184.35886631114508
192000,-135.67163886683466
192500,-171.03803710855084
193000,-117.41413886957089
193500,-76.18907165264372
194000,-74.89680775303195
194500,-52.18082644123135
195000,-32.397321081152064
195500,-43.60414671358506
196000,-162.9926219085806
196500,-107.30172679938502
197000,-92.78986763585256
197500,-68.05652873253325
198000,-120.93239833641894
198500,-186.75937239381446
199000,-103.56593298897523
199500,-196.25625947313338
200000,-153.8916219513241
200500,-209.93955168080592
201000,-253.24263858152523
201500,-167.59398343232576
202000,-191.98443466503983
202500,-151.60826979195608
203000,-143.70496186176462
203500,-146.6700403142808
204000,-92.3184833268906
204500,-162.60812942237646
205000,-148.87102220339077
205500,-177.94712540402844
206000,-146.93975211418814
206500,-181.6905537111012
207000,-205.34165065482028
207500,-210.6646453418296
208000,-177.47716768917408
208500,-195.11453938616074
209000,-182.1299592736458
209500,-156.35577318131826
210000,-190.91980040997944
210500,-246.24505614552632
211000,-315.6391060659598
211500,-266.29105209983163
212000,-272.28669667199887
212500,-248.68191877815306
213000,-217.2477121935217
213500,-269.8460902340629
214000,-255.5065055361831
214500,-256.36924627768633
215000,-268.5008196841582
215500,-254.11716652514187
216000,-219.0577118690524
216500,-213.24421485594334
217000,-227.7051046559082
217500,-226.39070297939853
218000,-208.3401610753076
218500,-228.7952501973512
219000,-204.3551492700123
219500,-193.3570458262073
220000,-186.80575839907334
220500,-200.75919821188688
221000,-214.96144342638144
221500,-193.4981375392304
222000,-187.7193549866326
222500,-205.6120263555862
223000,-200.23148733655782
223500,-205.9020678001942
224000,-205.3834462513859
224500,-215.18612273684607
225000,-194.078179104065
225500,-223.61072916646498
226000,-277.7003206774345
226500,-236.3420314933174
227000,-241.59675409991783
227500,-297.8809166846337
228000,-204.5906801911555
228500,-167.68915234327872
229000,-147.8403023665542
229500,-71.24120740945706
230000,-158.46374720533007
230500,-195.9253435794733
231000,-248.5407777684865
231500,-151.2695887153428
232000,-228.24880343253025
232500,-177.2827208280748
233000,-204.19670779188905
233500,-203.11193621284892
234000,-159.1039436372469
234500,-193.52156995028835
235000,-180.21774639645497
235500,-170.40306533571098
236000,-78.26961533523492
236500,-142.64990815873549
237000,-69.7927985057612
237500,-143.80641592813575
238000,-250.2082399311098
238500,-164.46119093204075
239000,-197.24507100111464
239500,-277.0376646118938
240000,-160.675063947459
240500,-169.09940246570267
241000,-254.41841436899594
241500,-242.03590151648737
242000,-265.9635779085936
242500,-203.74301179119942
243000,-259.7884702339348
243500,-177.19270576089528
244000,-156.00133588727948
244500,-203.103334947314
245000,-193.4616040824789
245500,-168.3167509349002
246000,-203.46747252642285
246500,-171.25500237804638
247000,-193.93963115839716
247500,-158.33946427145221
248000,-183.15101867517615
248500,-219.81502633493022
249000,-270.5657684162121
249500,-279.70191980842395
250000,-303.5454191358551
250500,-280.358739230059
251000,-323.5978720427223
251500,-337.3178851591109
252000,-330.7771785609668
252500,-335.5895839566173
253000,-365.34464915906506
253500,-234.59125878007845
254000,-233.9310438359634
254500,-253.71061559244646
255000,-221.90050729504983
255500,-187.86172095089
256000,-233.49210322514773
256500,-192.39881880171916
257000,-115.48988263230451
257500,-43.801369390161746
258000,-210.40113646807862
258500,-97.05629573215383
259000,-66.59176825607997
259500,-132.858382174187
260000,-94.98478287515759
260500,-70.0446786567036
261000,-105.49503323165297
261500,-209.53117682995162
262000,-105.6840610251119
262500,-132.7359323022086
263000,-121.61191131515211
263500,-123.26026734666236
264000,-102.97192235297553
264500,-116.53137558845029
265000,-124.83888649651642
265500,-115.30097189671456
266000,-78.17634331965156
266500,-94.53647865700223
267000,-75.77534657980428
267500,-60.13728297437787
268000,-56.35469948478843
268500,-87.31395167359719
269000,-102.08638909867105
269500,-81.85374870257931
270000,-98.23823327833296
270500,-88.23870496669149
271000,-114.22330582055267
271500,-138.79036262200876
272000,-131.3325253185264
272500,-193.3969452052168
273000,-163.96473988590043
273500,-159.12830658159197
274000,-123.95104493307095
274500,-180.593329595302
275000,-165.4975184217896
275500,-155.0695542002361
276000,-134.3044583669797
276500,-156.34675747806577
277000,-133.08813686670246
277500,-145.71273939484985
278000,-116.14160388251955
278500,-117.12960768457273
279000,-101.88807089295497
279500,-170.81870509858533
280000,-136.34216903440338
280500,-115.65795935437393
281000,-162.59489350315354
281500,-130.21570871975564
282000,-110.58691580731389
282500,-135.97854898622808
283000,-147.99489601755914
283500,-123.55310912281819
284000,-163.08850244691473
284500,-169.84483979824284
285000,-141.81183824093728
285500,-158.89943863692247
286000,-140.0337712148198
286500,-144.35297365499994
287000,-155.12145123787687
287500,-156.2414521187572
288000,-131.52569494061657
288500,-135.8976840934105
289000,-153.98608447390276
289500,-148.9330807245663
290000,-140.6801518485872
290500,-142.07020814754577
291000,-130.02717237239028
291500,-126.39963964573697
292000,-133.245408422161
292500,-155.32521689934464
293000,-104.24710719638247
293500,-123.23179012675651
294000,-153.53797481333203
294500,-133.62576076050223
295000,-122.09809892251583
295500,-125.61731860464518
296000,-130.77916815105715
296500,-103.75552442356025
297000,-110.37564928815766
297500,-111.85792151710648
298000,-98.78022799350482
298500,-112.83507642273631
299000,-126.77312998398727
299500,-133.83957675803077
